time,TP9,AF7,AF8,TP10
1691552240224.5,-25.390625,-18.06640625,-31.25,-22.4609375
1691552240271.375,-46.38671875,-35.64453125,-32.2265625,-39.55078125
1691552240318.25,-40.0390625,-49.8046875,-37.109375,-23.92578125
1691552240365.125,-42.96875,-33.203125,-28.3203125,-38.0859375
1691552240412,-59.08203125,-37.109375,-42.96875,-43.45703125
1691552240458.875,-28.3203125,-36.1328125,-34.1796875,-39.0625
1691552240505.75,-83.49609375,-28.3203125,-53.22265625,-99.609375
1691552240552.625,-132.32421875,-15.13671875,-41.9921875,-158.69140625
1691552240599.5,-72.75390625,-29.296875,-62.98828125,-78.61328125
1691552240646.375,-9.27734375,-63.4765625,-57.12890625,-2.44140625
1691552240693.25,-8.30078125,-48.828125,-51.26953125,-6.8359375
1691552240740.125,-13.671875,-56.640625,-46.38671875,-8.30078125
1691552240787,-28.3203125,-41.015625,-35.15625,-26.85546875
1691552240833.875,-39.55078125,-32.71484375,-28.3203125,-31.73828125
1691552240880.75,-26.85546875,-37.59765625,-27.83203125,-17.578125
1691552240927.625,-29.296875,-47.8515625,-29.78515625,-27.83203125
1691552240974.5,-40.52734375,-49.8046875,-42.96875,-39.0625
1691552241021.375,-41.50390625,-38.57421875,-29.296875,-28.3203125
1691552241068.25,-22.94921875,-24.4140625,-30.2734375,-23.92578125
1691552241115.125,-39.55078125,-34.66796875,-36.62109375,-43.9453125
1691552241162,-39.55078125,-27.83203125,-37.59765625,-55.17578125
1691552241208.875,-37.59765625,-40.0390625,-35.15625,-56.15234375
1691552241255.75,-38.0859375,-47.8515625,-28.80859375,-38.57421875
1691552241302.625,-44.43359375,-41.50390625,-26.85546875,-35.64453125
1691552241349.5,-34.66796875,-38.57421875,-34.1796875,-38.57421875
1691552241396.375,-50.29296875,-25.390625,-37.109375,-54.6875
1691552241443.25,-37.109375,-34.66796875,-29.296875,-36.62109375
1691552241490.125,-34.1796875,-41.50390625,-31.25,-39.0625
1691552241537,-45.41015625,-51.7578125,-36.62109375,-37.109375
1691552241583.875,-24.90234375,-41.015625,-33.69140625,-19.04296875
1691552241630.75,-16.6015625,-33.203125,-27.34375,-32.2265625
1691552241677.625,-37.109375,-49.8046875,-39.0625,-32.71484375
1691552241724.5,-27.34375,-45.8984375,-32.71484375,-26.3671875
1691552241771.375,-38.0859375,-30.2734375,-25.390625,-39.55078125
1691552241818.25,-35.64453125,-39.55078125,-22.4609375,-29.296875
1691552241865.125,-45.41015625,-48.828125,-18.5546875,-14.6484375
1691552241912,-37.59765625,-40.52734375,-24.4140625,-28.80859375
1691552241958.875,-24.90234375,-23.92578125,-28.3203125,-36.1328125
1691552242005.75,-32.2265625,-34.1796875,-30.2734375,-44.43359375
1691552242052.625,-48.33984375,-24.4140625,-33.69140625,-58.10546875
1691552242099.5,-25.390625,-28.80859375,-18.5546875,-4.8828125
1691552242146.375,-26.85546875,-29.78515625,-10.7421875,-21.484375
1691552242193.25,-33.69140625,-38.57421875,-19.04296875,-21.484375
1691552242240.125,-30.2734375,-30.2734375,-30.76171875,-30.2734375
1691552242287,-30.76171875,-35.64453125,-27.34375,-26.85546875
1691552242333.875,-41.50390625,-38.0859375,-29.78515625,-44.43359375
1691552242380.75,-22.94921875,-35.64453125,-26.3671875,-39.0625
1691552242427.625,-29.78515625,-26.85546875,-29.296875,-35.64453125
1691552242474.5,-35.15625,-29.296875,-36.62109375,-33.203125
1691552242521.375,-37.109375,-30.76171875,-39.0625,-42.48046875
1691552242568.25,-49.8046875,-41.50390625,-28.3203125,-48.33984375
1691552242615.125,-36.1328125,-42.48046875,-30.76171875,-54.19921875
1691552242662,-42.96875,-36.1328125,-18.5546875,-46.875
1691552242708.875,-45.41015625,-30.76171875,-24.90234375,-67.3828125
1691552242755.75,-37.109375,-39.55078125,-34.66796875,-57.6171875
1691552242802.625,-41.50390625,-36.62109375,-25.390625,-41.50390625
1691552242849.5,-39.0625,-35.64453125,-37.109375,-43.9453125
1691552242896.375,-50.78125,-34.1796875,-38.57421875,-61.03515625
1691552242943.25,-31.73828125,-23.92578125,-22.94921875,-25.87890625
1691552242990.125,-29.296875,-39.0625,-22.94921875,-16.11328125
1691552243037,-38.57421875,-28.3203125,-32.2265625,-33.69140625
1691552243083.875,-60.546875,-37.59765625,-23.92578125,-37.59765625
1691552243130.75,-27.83203125,-28.80859375,-24.4140625,-28.80859375
1691552243177.625,-34.1796875,-32.71484375,-26.85546875,-31.73828125
1691552243224.5,-29.78515625,-22.4609375,-36.62109375,-27.34375
1691552243271.375,-41.50390625,-40.0390625,-26.85546875,-21.97265625
1691552243318.25,-28.3203125,-30.76171875,-36.1328125,-43.45703125
1691552243365.125,-42.48046875,-34.1796875,-30.2734375,-29.78515625
1691552243412,-39.0625,-25.390625,-32.2265625,-34.1796875
1691552243458.875,-20.99609375,-37.109375,-25.87890625,-23.92578125
1691552243505.75,-27.34375,-32.2265625,-26.3671875,-28.3203125
1691552243552.625,-45.8984375,-50.29296875,-25.390625,-31.73828125
1691552243599.5,-30.76171875,-31.25,-26.3671875,-39.55078125
1691552243646.375,-45.8984375,-39.55078125,-26.3671875,-45.8984375
1691552243693.25,-30.76171875,-41.50390625,-31.25,-30.2734375
1691552243740.125,-36.62109375,-38.57421875,-29.296875,-36.62109375
1691552243787,-19.04296875,-34.1796875,-23.4375,-30.2734375
1691552243833.875,-32.71484375,-29.78515625,-18.06640625,-44.921875
